               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.033887,             0.02653,           0.0024388,             0.74922,             0.65195,             0.67357,             0.33612,            0.039651,            0.020741,           0.0039108,             0.00307,             0.00307,             0.00307
                  72,            0.033875,            0.025198,           0.0025149,             0.72257,              0.6623,             0.66761,             0.33321,            0.039685,            0.020811,           0.0036761,            0.002971,            0.002971,            0.002971
                  73,            0.033728,            0.025829,           0.0025089,             0.76718,             0.65554,              0.6684,             0.33065,            0.039854,            0.020749,           0.0040635,            0.002872,            0.002872,            0.002872
                  74,            0.033374,            0.025347,           0.0024136,             0.75346,             0.67446,             0.68082,             0.34025,            0.039501,            0.020752,           0.0039925,            0.002773,            0.002773,            0.002773
                  75,            0.033588,            0.025684,           0.0027668,             0.78686,             0.64152,             0.68336,             0.34247,             0.03913,            0.020801,           0.0036912,            0.002674,            0.002674,            0.002674
                  76,            0.033356,            0.025476,           0.0024272,             0.74777,             0.66227,             0.67475,             0.33973,            0.039413,            0.020849,           0.0035648,            0.002575,            0.002575,            0.002575
                  77,             0.03329,            0.025463,           0.0024842,              0.7482,             0.67181,             0.67597,             0.34177,            0.039191,            0.020782,            0.003812,            0.002476,            0.002476,            0.002476
                  78,            0.033193,            0.025015,             0.00252,             0.74961,             0.66423,             0.66716,             0.33399,            0.039372,            0.020809,            0.003832,            0.002377,            0.002377,            0.002377
                  79,            0.032727,            0.024964,           0.0024028,             0.76534,             0.64965,             0.67317,             0.33415,            0.039475,            0.020869,           0.0037169,            0.002278,            0.002278,            0.002278
                  80,            0.032828,            0.025424,            0.002321,             0.77356,             0.65366,             0.67664,             0.34072,            0.039212,            0.020832,            0.003727,            0.002179,            0.002179,            0.002179
                  81,            0.032559,            0.025144,           0.0021924,             0.74358,             0.66141,             0.67543,             0.33874,            0.039588,            0.021073,           0.0036605,             0.00208,             0.00208,             0.00208
                  82,            0.032498,            0.025247,           0.0022641,              0.7717,             0.67239,             0.68332,             0.34698,            0.039055,            0.020808,           0.0037293,            0.001981,            0.001981,            0.001981
                  83,            0.032618,            0.025404,           0.0023368,             0.75057,             0.66528,             0.68104,             0.34025,            0.039347,             0.02087,           0.0038741,            0.001882,            0.001882,            0.001882
                  84,            0.031928,            0.024784,           0.0022015,             0.75486,             0.67924,             0.68539,             0.34681,            0.039106,             0.02095,            0.003794,            0.001783,            0.001783,            0.001783
                  85,            0.032063,            0.025167,           0.0022208,             0.77278,              0.6592,             0.68904,              0.3487,            0.039023,            0.020932,           0.0036235,            0.001684,            0.001684,            0.001684
                  86,            0.032356,             0.02479,           0.0020522,             0.77407,             0.66275,             0.67934,             0.34055,            0.039298,            0.021198,           0.0037752,            0.001585,            0.001585,            0.001585
                  87,            0.031532,            0.024693,           0.0021455,             0.76719,             0.66162,             0.68653,              0.3502,            0.039103,            0.021071,           0.0037564,            0.001486,            0.001486,            0.001486
                  88,            0.031564,            0.023818,           0.0021418,             0.75231,             0.67347,             0.68582,             0.35125,            0.038943,            0.020946,           0.0037514,            0.001387,            0.001387,            0.001387
                  89,              0.0315,            0.024482,           0.0021943,             0.74983,             0.67003,             0.68347,             0.34689,            0.039094,            0.021029,           0.0038667,            0.001288,            0.001288,            0.001288
                  90,            0.031048,            0.024246,           0.0020335,             0.74205,             0.67134,             0.67669,             0.34548,            0.039237,            0.021139,           0.0037952,            0.001189,            0.001189,            0.001189
                  91,            0.031176,            0.024298,            0.002065,             0.75961,              0.6797,             0.69328,             0.35146,            0.039039,            0.021006,           0.0038584,             0.00109,             0.00109,             0.00109
                  92,            0.030998,            0.024129,           0.0021861,             0.77069,             0.65794,             0.67907,             0.35089,            0.039167,            0.021198,           0.0038273,            0.000991,            0.000991,            0.000991
                  93,             0.03081,            0.023992,           0.0020542,             0.78475,             0.66652,             0.68725,             0.35288,            0.039083,            0.021257,           0.0040069,            0.000892,            0.000892,            0.000892
                  94,            0.030661,            0.024208,           0.0019786,             0.77506,             0.66607,             0.67882,             0.35032,            0.038989,            0.021084,           0.0037363,            0.000793,            0.000793,            0.000793
                  95,            0.030414,            0.023844,           0.0020731,             0.77168,             0.67124,             0.68476,             0.35651,            0.038932,             0.02115,           0.0037639,            0.000694,            0.000694,            0.000694
                  96,            0.030297,            0.024126,           0.0019121,             0.77713,             0.65895,             0.68752,             0.35565,            0.039048,            0.021146,           0.0037969,            0.000595,            0.000595,            0.000595
                  97,            0.030463,            0.024017,           0.0019002,             0.75902,             0.67394,             0.68646,             0.35481,            0.039007,            0.021122,           0.0037349,            0.000496,            0.000496,            0.000496
                  98,            0.030163,            0.024152,           0.0018847,             0.77605,             0.66034,             0.68078,             0.35249,            0.039144,            0.021223,           0.0037492,            0.000397,            0.000397,            0.000397
                  99,            0.030332,            0.022968,           0.0020251,             0.76565,             0.66405,             0.67872,              0.3539,            0.039067,            0.021285,           0.0037942,            0.000298,            0.000298,            0.000298
